"price","encoded_region","experience_days","transaction_count"
16297.95,0,147,19
19587.55,0,97,21
11388.41,0,119,17
10958.58,0,89,14
9828.55,1,105,25
26285.07,0,123,20
3102.25,0,128,21
12728.73,0,95,23
14699.63,0,68,21
19304.5,0,94,22
7718.09,1,94,17
14346.29,0,99,22
13150.81,0,122,15
14096.7,0,80,21
9751.35,0,67,26
16891.58,0,115,17
8146.03,0,99,13
13419.42,0,107,19
16971.75,0,73,15
9562.75,1,86,22
7688.32,0,96,20
27791.88,0,142,26
15439.43,0,135,20
23657.07,0.5,101,22
21075.63,0,121,20
16497.72,0,89,26
14137.71,0,92,18
20662.48,0,98,21
15115.99,0,72,21
21679.37,0,100,32
7612.22,1,105,22
8266.2,1,78,27
15194.62,0,71,14
20365.77,0,161,21
21748.48,0,90,16
20976.4,0,109,22
14889.1,0,90,23
18492.47,0,131,19
18362.03,0,92,14
11041.77,0,109,20
13910.47,0,115,20
15115.35,0,89,28
15576.97,0,87,21
13614.6,0,121,24
15184.42,0,126,11
17376,0,104,32
23537.45,0,75,15
20380.03,0,117,15
8271.43,0,85,28
7798.76,0,97,20
13030.36,0,127,15
17905.31,0,67,30
14146.06,0,115,18
10470.73,0,106,7
15781.07,0,105,26
13133.87,0,105,21
13270.64,0,94,20
13208.56,0,103,15
14334.67,0,93,21
14552.02,0,105,22
18139.65,0,88,16
7855.86,0,106,24
15862.77,0,129,27
11044.25,0,81,23
21310.2,0,91,24
13652.97,0,89,27
15784.91,0,123,15
11197.01,0,93,23
21853,0,120,19
15187.91,0,99,11
17247.47,0,87,18
28943.44,0,117,13
12657.57,0,87,19
20063.03,0,90,15
14781.3,0,91,16
22033.49,0,119,21
17099.64,0,142,31
16550.43,0,73,20
20595.23,0,83,27
8509.3,0,79,24
8587.59,0,74,13
23297.14,0,104,15
18918.73,0,103,27
17888.55,0,93,22
13663.77,0,90,22
11771.54,0,113,31
7302.22,1,59,13
10869.01,0,126,26
20275.19,0,102,19
10603.65,0,117,23
8614.36,0,98,26
11829.39,0,101,28
18323.5,0,94,22
12452.09,0,89,22
17036.82,0,120,14
23388.74,0,102,30
9739.72,0,76,21
11815.46,0,108,22
17826.96,0,82,19
16900.79,0,57,9
7499.7,0,98,23
17478.94,0,98,25
15064.07,0,109,18
9326.99,1,127,23
17224.2,0,118,18
17963.58,0,85,25
8714.49,1,111,18
19739.3,0,102,26
16732.84,0,110,26
12206.92,0,92,15
11210.47,1,87,29
12571.47,0,121,18
25823.49,0,102,23
11492.33,1,114,22
11575.26,0,87,28
9753.77,0,45,28
10985.86,0,91,18
8795.89,1,103,12
16050.46,0,140,20
10658.8,0,99,19
14239.09,0,54,21
13769.32,0,90,16
13859.23,0,80,23
20398.69,0,110,22
13327.73,0,95,28
6719.12,1,113,25
12330.07,0,118,22
17529.91,0,81,14
14589.61,0,121,22
16344.38,0,86,23
15216.21,0,96,21
19320.39,0,93,20
13660.56,0,58,21
17644.52,0,93,28
10174.1,0,59,12
13875.45,0,70,20
26281.82,0,104,23
14356.29,0,107,17
9909.27,1,114,26
9459.02,0,87,23
13231.55,0,110,30
15142.33,0,123,23
25099.27,0,91,16
13771.44,0,111,20
12532.49,0,67,32
17324.17,0,92,29
15892.29,0,100,24
20748.44,0,110,30
17610.95,0,81,22
13780.4,0,95,16
7997.6,0,102,20
12048.39,0,118,27
6385.08,0,116,15
18153.69,0,97,25
11882.8,0,106,20
17759.87,0,106,20
14262.73,0,84,19
10969.56,0,148,21
11145.15,0,104,14
12023.34,0,110,15
19812.14,0,73,13
12651.84,0,95,13
11793.9,0,96,29
16303.89,0,116,20
20330.56,0,110,26
9463.63,0,96,18
7666.71,0,110,19
21493.77,0,108,16
16035.96,0,121,21
15413.43,0,123,23
14968.38,0,110,16
10470.1,0,77,19
10248.55,0,94,25
16770.45,0,93,13
14313.83,0,131,21
16405.65,0,96,8
22025.09,0,87,10
16557.5,0,140,19
7414.21,0,131,23
23004.31,0,98,28
14551.12,0,110,24
15163.36,0,77,20
18754.41,0,112,20
14375.84,0,89,21
14727.86,0,97,17
19036.83,0,83,27
20877.88,0,57,26
14403.45,0,72,10
6492.49,1,117,22
11935.97,1,73,23
6298.47,0,88,20
25346.24,0,81,23
7832.89,1,97,24
3918.13,0,112,24
6134.73,1,93,23
11511.75,0,81,11
15106.79,0,112,22
13482.49,0,102,18
19021.95,0,129,21
17787.77,0,98,19
18561.38,0,120,22
7426.55,1,92,19
9008.91,0,119,24
9096.07,0,102,12
13598.69,0,89,25
20060.48,0,101,18
8540.92,0,105,12
16005.69,0,134,15
27712.78,0,120,15
19846.72,0,92,24
25943.57,0,99,16
17847.9,0,115,19
17722.1,0,70,11
17290.07,0,104,24
10802.15,0,105,20
23800.41,0,124,30
8466.65,0,113,17
26374.58,0,115,19
15309.29,0,108,17
4752.52,1,118,22
16692.33,0,150,11
9853.18,1,103,14
20485.72,0,119,14
14721.49,0,123,22
6283.49,0,75,13
17474.8,0,98,26
23305.33,0,92,21
14798.17,0,84,21
16724.46,0,84,13
6801.4,1,87,22
11262.64,0,87,25
13876.93,0,118,12
16363.55,0,114,24
8934.73,0,98,16
10301.07,0,100,24
14378.26,0,137,27
15108.94,0,73,20
13448.18,0,104,22
15168.18,0,113,27
19644.98,0,105,15
18503.38,0,91,17
13158.78,0,109,27
10201.07,0,96,19
11263.2,0,88,13
16094.85,0,100,20
23874.7,0,104,16
24126.48,0,101,25
11953.77,1,124,25
10232.41,1,119,21
13493.96,0,117,18
11812.06,0,87,21
18477.49,0,118,19
9181.94,0,101,17
10897.69,0,117,25
10135.77,0,107,17
11244.56,0,91,19
17047.88,0,104,23
5412.71,0,89,17
17832.78,0,94,16
12496.98,0,134,23
8976.17,1,128,15
14069.87,0,92,23
20981.6,0,90,31
9513.92,1,124,14
6042.28,0,100,12
17664.94,0,107,23
17342.18,0,99,24
15698.46,0,124,21
23055.94,0,106,24
23099.66,0,95,19
17992.67,0,117,20
15533.26,0,119,19
12111.43,0,110,21
4653.12,0,130,31
7348.91,0,92,20
14501.45,0,96,10
9756.84,1,91,23
16446.1,0,118,20
12723.42,0,99,16
21441.5,0,95,16
13516.03,0,40,23
15049.8,0,103,17
16985.55,0,97,26
22982.76,0,155,18
8061.96,0,77,6
28322.56,0,116,14
15692.11,0,111,13
27842.12,0,100,13
9169.92,0,108,22
24082.35,0,118,25
17556.46,0,96,24
12882.19,0,88,20
13269.42,0,88,24
11292.52,0,56,8
9951.78,0,95,17
23032.28,0,100,22
8154.06,1,127,14
4305.91,0,111,22
17517.99,0,117,23
12945.67,0,77,12
16532.92,0,110,18
16613.72,0,84,25
21830.4,0,106,24
12055.92,0,133,27
23489.16,0,74,30
15281.82,0,100,19
14502.03,0,98,17
13949.01,0,112,22
5724.19,0,141,12
17075.02,0,56,19
17512.53,0,123,20
9590.94,0,86,21
26508.86,0,102,14
19277.75,0,122,15
16415.75,0,131,10
13313.61,0,129,28
23098.92,0,135,15
18174.45,0,58,10
19094.94,0,89,21
12168.6,0,94,19
10262.36,0,111,10
23117.08,0,82,30
12943.57,0,91,18
17049.94,0,99,22
19411.65,0,64,20
16581.61,0,108,26
3665.04,0.5,99,23
11204.47,0,120,31
19342.23,0,79,18
9663.5,1,98,15
11206.8,0,123,16
15908.97,0,63,16
9401.15,0,115,21
11197.23,0,98,24
17914.03,0,74,18
15012.9,0,85,17
11725.9,0,82,20
12436.21,0,104,24
17251.91,0,132,21
9754.13,1,105,23
18331.29,0,89,21
23169.06,0,94,17
16100.55,0,109,17
13907.83,0,102,27
7762.29,0,112,23
10724.73,0,103,11
11803.24,1,101,23
9196.74,0,77,19
16074.4,0,77,19
10693.69,0,80,18
10290.93,0,99,23
10006.81,1,98,6
15910.48,0,143,26
16674.87,0,124,29
24245.03,0,124,17
12264.75,1,114,38
14995.31,0,94,18
25922.25,0,108,21
15328.71,0,98,16
18485.98,0,82,19
18432.76,0,106,21
20560.37,0,83,22
17626.05,0,147,15
23418.58,0,94,22
12338.24,0,99,13
20221.08,0,76,17
9772.39,0,74,10
16552.29,0,113,22
7317.16,0,110,22
14149.99,0,126,18
9812.09,0,83,26
9507.62,0,90,23
16669.24,0,147,21
30000,0,116,17
13344.33,0,101,19
7636.3,1,91,15
9106.17,0,90,18
16212.29,0,85,13
7479.01,0,117,21
7259.95,1,96,19
21155.97,0,95,20
12640.65,0,78,18
19469.28,0,137,27
22655.62,0,108,29
14514.41,0,86,10
9029.52,1,97,20
22172.48,0,84,21
17441.33,0,92,19
21649.05,0,84,27
15120.41,0,117,13
9284.56,1,116,17
29645.45,0,118,20
25700.65,0,95,27
22966.1,0,89,20
13168.71,0,35,18
9372.39,0,114,26
12870.69,0,81,21
21589.29,0,134,19
17448.31,0,95,20
11951.78,0.5,102,28
11523.01,1,119,14
2705.9,0,87,27
13704.64,1,109,19
26887.21,0,124,18
12649.46,0,104,23
13648.95,0,136,12
13289.61,0,92,24
16010.4,0,117,21
23647.51,0,114,24
10639.92,0,104,33
21671,0,126,27
19069.3,0,97,19
20606.1,0,97,15
12042.38,0,103,30
17948.01,0,114,20
6437.39,0,82,20
6478.19,1,75,23
